,buildingAreaCategory,buildingShape,censusRegion,climateZone,HDD65,HEATPC,HVACUpgrade,insulationUpgrade,MAINCL,MAINHT,MONUSEC,numEmployeesCategory,numFloors,OCCUPYP,OPNWE,OWNTYPE,region,RENWLL,lightingUpgrade,roofConstuction,STUSED,OPEN24,wallConstruction,WHOPPR,WINTYP,WKHRSC,WWR,yrConstructionCategory,EUI
4,5,1.0,7,3,813,3,2.0,2.0,4.0,4.0,4,4,2,100.0,1,4,3,2.0,2.0,6,2,2,3,0.0,1,5,2.0,5,63.4716
8,5,2.0,7,3,1341,3,1.0,2.0,2.0,2.0,4,5,1,40.0,1,6,3,2.0,2.0,4,2,2,1,0.0,1,5,3.0,6,72.27024
9,9,11.0,5,2,3471,3,2.0,2.0,3.0,2.0,4,10,995,100.0,1,1,3,2.0,2.0,1,2,2,6,0.0,2,5,6.0,6,92.01997666666666
10,4,0.0,8,1,4023,3,1.0,2.0,2.0,2.0,4,5,3,90.0,1,2,4,2.0,2.0,6,2,2,1,0.0,2,5,0.0,1,61.73931707317073
17,3,2.0,7,3,2617,1,1.0,2.0,1.0,1.0,4,2,1,100.0,2,3,3,2.0,2.0,5,2,2,5,0.0,2,3,1.0,6,18.208166666666667
19,6,9.0,4,1,5563,3,1.0,1.0,3.0,3.0,4,7,2,100.0,1,10,2,2.0,1.0,6,2,2,1,0.0,2,4,4.0,6,62.261535211267606
21,2,2.0,6,3,1332,3,2.0,2.0,1.0,6.0,4,3,1,90.0,2,10,3,2.0,2.0,1,2,2,1,0.0,2,3,2.0,3,34.706382978723404
27,8,4.0,5,2,2799,3,1.0,2.0,3.0,2.0,4,10,994,90.0,1,1,3,2.0,1.0,6,2,2,2,0.0,1,5,5.0,7,79.97924810126582
35,6,2.0,8,1,6087,2,1.0,2.0,2.0,3.0,4,7,3,97.0,1,2,4,2.0,2.0,6,2,2,1,0.0,2,5,4.0,8,38.261155555555554
43,7,5.0,5,2,2270,3,2.0,2.0,3.0,2.0,4,7,4,95.0,2,10,3,2.0,2.0,6,2,2,2,0.0,2,4,3.0,7,84.35046
